Table S7. Overview of all assembled samples with >10 LARSFARDIG motifs. Key metadata are shown, along with the number of LARSFADIG motifs and var genes at different length cut-offs.								
Data of Pf6 and Elife can be found at https://www.malariagen.net/projects/p-falciparum-community-project#data								
Accession number of the pf3k can be found at https://www.malariagen.net/projects/pf3k#data								

ID	Dataset	Origin of sample	Year of sample collection	Part of normalised set?	# LARSFADIG motifs	# var genes > 1kb	# var genes > 3kb	# var genes > 3.5kb
PH0243-C	PF3K	Cambodia	2010	0	44	124	48	45
PH0244-C	PF3K	Cambodia	2010	0	53	154	53	48
PH0245-C	PF3K	Cambodia	2010	0	45	132	48	43
PH0246-C	PF3K	Cambodia	2010	0	50	121	51	49
PH0247-C	PF3K	Cambodia	2010	0	31	137	25	22
PH0248-C	PF3K	Cambodia	2010	1	51	196	35	30
PH0249-C	PF3K	Cambodia	2010	0	43	126	43	41
PH0250-C	PF3K	Cambodia	2010	0	39	156	29	29
PH0251-C	PF3K	Cambodia	2010	1	56	148	56	52
PH0252-C	PF3K	Cambodia	2010	0	52	153	52	46
PH0253-C	PF3K	Cambodia	2010	0	44	108	44	44
PH0254-C	Pf6	Cambodia	NA	0	53	154	39	36
PH0255-C	Pf6	Cambodia	NA	0	44	110	42	39
PH0259-C	Elife	Cambodia	2010	0	42	159	32	27
PH0261-C	Pf6	Cambodia	NA	0	41	120	37	33
PH0264-C	Pf6	Cambodia	NA	0	48	122	49	46
PH0266-C	Pf6	Cambodia	NA	0	51	207	19	17
PH0267-C	Pf6	Cambodia	NA	0	44	129	40	37
PH0270-C	Pf6	Cambodia	NA	0	44	110	40	39
PH0274-C	PF3K	Cambodia	2010	0	63	143	68	66
PH0278-CW	Elife	Cambodia	NA	0	43	120	34	33
PH0279-C	Pf6	Cambodia	NA	1	52	138	50	46
PH0280-C	Pf6	Cambodia	NA	0	40	203	18	11
PH0282-C	Elife	Cambodia	NA	0	46	155	30	27
PH0283-C	PF3K	Cambodia	2010	0	47	89	51	50
PH0284-C	PF3K	Cambodia	2010	0	56	174	33	28
PH0285-C	PF3K	Cambodia	2010	0	39	112	38	36
PH0286-CW	PF3K	Cambodia	2010	1	80	204	75	69
PH0287-C	Pf6	Cambodia	NA	0	40	139	30	29
PH0288-C	Pf6	Cambodia	NA	0	21	119	10	6
PH0289-C	Pf6	Cambodia	NA	0	51	124	50	48
PH0290-C	Pf6	Cambodia	NA	0	51	145	55	50
PH0291-C	Pf6	Cambodia	NA	0	54	190	34	28
PH0292-C	Elife	Cambodia	NA	0	81	249	65	58
PH0294-C	PF3K	Cambodia	2010	0	59	142	61	59
PH0295-C	Pf6	Cambodia	NA	0	37	178	26	17
PH0296-C	Pf6	Cambodia	NA	0	32	170	13	7
PH0297-C	PF3K	Cambodia	2010	0	48	154	50	43
PH0299-CW	Pf6	Cambodia	NA	0	34	146	32	30
PH0300-C	PF3K	Cambodia	2010	0	52	137	50	46
PH0302-C	PF3K	Cambodia	2010	0	92	268	75	66
PH0303-CW	PF3K	Cambodia	2010	0	46	131	44	35
PH0304-C	PF3K	Cambodia	2010	0	55	172	42	38
PH0305-C	PF3K	Cambodia	2010	1	47	134	56	52
PH0306-C	PF3K	Cambodia	2010	0	38	129	38	35
PH0307-C	PF3K	Cambodia	2010	1	61	163	65	58
PH0308-CW	PF3K	Cambodia	2010	0	49	130	46	39
PH0321-C	PF3K	Cambodia	2010	0	52	127	50	50
PH0322-C	PF3K	Cambodia	2010	0	53	123	57	51
PH0323-C	Pf6	Cambodia	NA	0	36	183	24	19
PH0324-C	PF3K	Cambodia	2010	0	53	136	48	46
PH0325-C	PF3K	Cambodia	2010	1	53	141	57	55
PH0326-C	PF3K	Cambodia	2010	0	48	136	52	50
PH0327-C	PF3K	Cambodia	2010	0	34	106	30	28
PH0328-C	PF3K	Cambodia	2010	0	55	180	40	31
PH0329-C	PF3K	Cambodia	2010	1	50	124	51	48
PH0330-C	PF3K	Cambodia	2010	0	95	231	93	84
PH0332-C	PF3K	Cambodia	2010	1	74	224	66	62
PH0333-C	PF3K	Cambodia	2010	0	82	198	84	78
PH0334-C	PF3K	Cambodia	2010	0	112	321	106	91
PH0335-C	PF3K	Cambodia	2010	0	50	134	46	44
PH0336-C	PF3K	Cambodia	2010	0	49	180	37	34
PH0337-C	PF3K	Cambodia	2010	0	54	148	57	52
PH0338-C	PF3K	Cambodia	2010	0	34	114	36	35
PH0339-C	PF3K	Cambodia	2010	0	52	157	53	50
PH0340-C	PF3K	Cambodia	2010	0	64	216	52	49
PH0341-C	PF3K	Cambodia	2010	1	60	265	61	55
PH0342-C	PF3K	Cambodia	2010	0	49	109	48	46
PH0343-C	PF3K	Cambodia	2010	1	57	140	55	53
PH0344-C	PF3K	Cambodia	2010	0	57	142	55	53
PH0345-C	PF3K	Cambodia	2010	0	90	215	97	88
PH0346-C	PF3K	Cambodia	2010	0	46	157	37	36
PH0347-C	PF3K	Cambodia	2010	0	57	162	62	59
PH0348-C	PF3K	Cambodia	2010	0	39	130	32	29
PH0349-C	PF3K	Cambodia	2010	1	57	133	55	52
PH0350-C	PF3K	Cambodia	2010	0	56	160	48	42
PH0351-C	PF3K	Cambodia	2010	0	31	171	20	19
PH0352-C	PF3K	Cambodia	2010	0	52	148	56	55
PH0353-C	PF3K	Cambodia	2010	0	48	136	54	48
PH0354-C	PF3K	Cambodia	2010	0	57	139	55	55
PH0355-C	PF3K	Cambodia	2010	0	56	155	57	55
PH0356-C	PF3K	Cambodia	2010	0	37	140	44	31
PH0357-C	PF3K	Cambodia	2010	0	57	153	56	51
PH0358-C	PF3K	Cambodia	2010	0	55	150	53	48
PH0359-C	PF3K	Cambodia	2010	0	57	175	40	33
PH0360-C	PF3K	Cambodia	2010	0	45	127	46	43
PH0361-C	PF3K	Cambodia	2010	1	50	146	53	52
PH0362-C	PF3K	Cambodia	2010	0	47	132	51	49
PH0363-C	PF3K	Cambodia	2010	0	56	189	40	35
PH0364-C	PF3K	Cambodia	2010	0	57	150	58	54
PH0365-C	PF3K	Cambodia	2010	0	112	325	103	88
PH0366-C	PF3K	Cambodia	2010	0	41	203	34	30
PH0367-C	PF3K	Cambodia	2010	1	61	170	64	61
PH0368-C	PF3K	Cambodia	2010	0	126	400	109	91
PH0369-C	PF3K	Cambodia	2010	0	55	206	41	38
PH0370-C	PF3K	Cambodia	2010	0	47	151	46	42
PH0371-C	PF3K	Cambodia	2010	0	53	140	47	47
PH0372-C	PF3K	Cambodia	2010	0	57	152	56	51
PH0373-C	PF3K	Cambodia	2010	0	42	133	43	38
PH0374-C	PF3K	Cambodia	2010	0	53	130	55	52
PH0375-C	PF3K	Cambodia	2010	0	60	152	65	62
PH0376-C	PF3K	Cambodia	2010	0	62	193	53	48
PH0377-C	PF3K	Cambodia	2010	0	57	165	62	58
PH0378-C	PF3K	Cambodia	2010	0	54	166	58	52
PH0379-C	PF3K	Cambodia	2010	0	43	149	25	22
PH0380-C	PF3K	Cambodia	2010	0	65	186	66	57
PH0381-C	PF3K	Cambodia	2010	0	51	128	55	53
PH0382-C	PF3K	Cambodia	2010	0	54	145	60	59
PH0383-C	PF3K	Cambodia	2010	0	68	232	66	61
PH0384-C	PF3K	Cambodia	2010	0	65	177	50	46
PH0386-C	Elife	Cambodia	2008	0	43	150	35	32
PH0407-C	Elife	Cambodia	2008	0	55	189	35	28
PH0408-C	Elife	Cambodia	2008	0	51	227	22	15
PH0410-C	Elife	Cambodia	2008	0	41	175	29	20
PH0411-C	Elife	Cambodia	2008	0	26	176	19	18
PH0416-C	Elife	Cambodia	2008	0	26	136	10	10
PH0450-C	Elife	Cambodia	2008	0	37	143	37	34
PH0453-C	PF3K	Cambodia	2010	0	67	224	64	55
PH0454-C	PF3K	Cambodia	2010	0	70	195	64	61
PH0455-C	PF3K	Cambodia	2010	0	46	176	34	31
PH0456-C	PF3K	Cambodia	2010	0	44	148	32	29
PH0457-CW	PF3K	Cambodia	2010	0	34	112	38	28
PH0458-CW	PF3K	Cambodia	2010	0	54	171	40	36
PH0459-CW	PF3K	Cambodia	2010	0	53	252	49	44
PH0460-C	PF3K	Cambodia	2010	0	58	136	55	53
PH0461-C	PF3K	Cambodia	2010	0	88	264	76	66
PH0462-C	PF3K	Cambodia	2010	0	51	147	54	48
PH0463-C	PF3K	Cambodia	2010	0	58	158	56	53
PH0464-CW	PF3K	Cambodia	2010	0	50	154	50	43
PH0465-CW	PF3K	Cambodia	2010	0	47	312	49	41
PH0466-C	PF3K	Cambodia	2010	0	61	166	62	58
PH0467-CW	PF3K	Cambodia	2010	0	38	111	36	30
PH0468-C	PF3K	Cambodia	2010	0	45	132	45	42
PH0469-CW	PF3K	Cambodia	2010	0	55	142	55	53
PH0470-C	PF3K	Cambodia	2010	0	63	210	44	38
PH0471-C	PF3K	Cambodia	2010	1	55	91	58	54
PH0472-C	PF3K	Cambodia	2010	0	75	236	66	61
PH0473-C	PF3K	Cambodia	2010	0	45	132	36	33
PH0474-CW	PF3K	Cambodia	2010	1	52	158	52	47
PH0475-C	PF3K	Cambodia	2010	0	53	134	49	48
PH0476-C	Elife	Cambodia	NA	0	44	135	37	34
PH0477-C	PF3K	Cambodia	2010	0	45	133	51	44
PH0478-C	PF3K	Cambodia	2010	0	83	230	76	69
PH0479-CW	PF3K	Cambodia	2010	0	65	175	69	63
PH0480-C	PF3K	Cambodia	2010	0	57	167	57	53
PH0481-C	PF3K	Cambodia	2010	0	45	116	43	39
PH0482-C	PF3K	Cambodia	2010	0	59	159	59	55
PH0483-CW	PF3K	Cambodia	2010	0	45	182	51	45
PH0484-C	PF3K	Cambodia	2011	0	43	140	36	35
PH0485-C	PF3K	Cambodia	2011	0	54	155	55	51
PH0486-C	PF3K	Cambodia	2011	0	52	152	50	44
PH0487-C	PF3K	Cambodia	2011	0	51	147	47	46
PH0488-C	PF3K	Cambodia	2011	0	61	178	65	60
PH0489-C	PF3K	Cambodia	2011	0	59	144	61	55
PH0490-C	PF3K	Cambodia	2011	0	48	137	47	43
PH0494-CW	PF3K	Cambodia	2009	0	56	300	49	43
PH0495-CW	PF3K	Cambodia	2009	1	54	174	53	49
PH0496-CW	PF3K	Cambodia	2009	0	48	140	57	48
PH0497-CW	PF3K	Cambodia	2009	1	58	186	55	53
PH0498-CW	PF3K	Cambodia	2009	0	48	151	53	51
PH0499-CW	PF3K	Cambodia	2010	0	55	228	56	53
PH0500-CW	PF3K	Cambodia	2009	1	48	193	57	49
PH0501-CW	PF3K	Cambodia	2009	0	57	231	55	46
PH0502-C	PF3K	Cambodia	2011	0	55	215	52	43
PH0503-C	PF3K	Cambodia	2011	0	11	61	2	1
PH0504-C	PF3K	Cambodia	2011	0	109	534	75	65
PH0505-C	PF3K	Cambodia	2011	0	115	478	97	92
PH0506-C	PF3K	Cambodia	2011	0	49	148	52	50
PH0507-C	PF3K	Cambodia	2011	0	55	170	60	59
PH0508-C	PF3K	Cambodia	2011	0	50	164	46	41
PH0509-C	Pf6	Cambodia	NA	0	221	822	219	184
PH0510-C	PF3K	Cambodia	2011	1	67	338	8	4
PH0511-C	PF3K	Cambodia	2011	0	70	319	59	51
PH0513-C	PF3K	Cambodia	2011	0	42	152	44	42
PH0514-C	PF3K	Cambodia	2011	0	51	185	55	52
PH0515-C	PF3K	Cambodia	2011	0	36	308	12	5
PH0516-C	PF3K	Cambodia	2011	1	52	187	49	36
PH0517-C	PF3K	Cambodia	2011	0	53	160	54	54
PH0518-C	PF3K	Cambodia	2011	0	44	139	47	40
PH0519-C	PF3K	Cambodia	2011	0	47	142	51	47
PH0520-C	PF3K	Cambodia	2011	0	54	140	54	52
PH0521-C	PF3K	Cambodia	2011	0	46	135	51	47
PH0522-C	PF3K	Cambodia	2011	0	67	263	30	22
PH0523-C	PF3K	Cambodia	2011	0	45	159	48	42
PH0524-C	PF3K	Cambodia	2011	0	46	181	46	43
PH0525-C	PF3K	Cambodia	2011	0	47	171	47	42
PH0526-C	PF3K	Cambodia	2011	0	52	147	51	43
PH0527-C	PF3K	Cambodia	2011	0	63	165	66	58
PH0528-C	PF3K	Cambodia	2011	0	42	140	45	41
PH0529-C	PF3K	Cambodia	2011	0	44	116	44	43
PH0530-C	PF3K	Cambodia	2011	0	42	136	48	44
PH0531-C	PF3K	Cambodia	2011	0	47	141	51	50
PH0532-C	PF3K	Cambodia	2011	0	43	126	46	45
PH0533-C	PF3K	Cambodia	2011	0	52	156	53	48
PH0534-C	PF3K	Cambodia	2011	0	54	140	56	55
PH0535-C	PF3K	Cambodia	2011	0	35	194	29	21
PH0536-C	PF3K	Cambodia	2011	0	34	195	18	13
PH0537-C	PF3K	Cambodia	2011	0	47	154	46	38
PH0538-C	PF3K	Cambodia	2011	0	47	156	49	45
PH0539-C	PF3K	Cambodia	2011	0	39	199	24	19
PH0540-C	PF3K	Cambodia	2011	1	54	161	53	48
PH0541-C	PF3K	Cambodia	2011	0	58	169	61	57
PH0542-C	PF3K	Cambodia	2011	1	57	169	62	59
PH0543-C	PF3K	Cambodia	2011	0	30	111	27	23
PH0544-C	PF3K	Cambodia	2011	0	42	201	26	21
PH0545-C	PF3K	Cambodia	2011	0	72	218	75	69
PH0546-C	PF3K	Cambodia	2011	1	57	233	52	48
PH0547-C	PF3K	Cambodia	2011	0	103	425	88	79
PH0548-C	PF3K	Cambodia	2011	0	66	289	51	46
PH0549-C	PF3K	Cambodia	2011	1	66	196	64	60
PH0551-C	PF3K	Cambodia	2011	0	53	153	58	55
PH0552-C	PF3K	Cambodia	2011	0	56	153	59	56
PH0553-C	PF3K	Cambodia	2011	0	39	139	41	39
PH0554-C	PF3K	Cambodia	2011	0	40	148	44	38
PH0555-C	PF3K	Cambodia	2011	0	56	170	62	60
PH0556-C	PF3K	Cambodia	2011	1	65	192	67	64
PH0557-C	PF3K	Cambodia	2011	0	64	217	72	66
PH0558-C	PF3K	Cambodia	2011	1	57	185	55	53
PH0559-C	PF3K	Cambodia	2011	0	40	92	43	41
PH0560-C	PF3K	Cambodia	2011	1	46	141	52	51
PH0561-C	PF3K	Cambodia	2011	0	65	248	60	58
PH0562-C	PF3K	Cambodia	2011	0	60	170	62	59
PH0563-C	PF3K	Cambodia	2011	0	57	162	62	58
PH0564-C	PF3K	Cambodia	2011	0	50	169	57	55
PH0565-C	PF3K	Cambodia	2011	0	44	141	49	46
PH0566-C	PF3K	Cambodia	2011	0	57	161	61	58
PH0568-C	PF3K	Cambodia	2011	0	70	188	68	65
PH0569-C	PF3K	Cambodia	2011	0	49	107	54	51
PH0570-C	PF3K	Cambodia	2011	0	49	135	51	47
PH0571-C	PF3K	Cambodia	2011	0	55	161	62	55
PH0572-C	PF3K	Cambodia	2011	0	83	282	82	71
PH0573-C	PF3K	Cambodia	2011	0	71	263	65	61
PH0574-C	PF3K	Cambodia	2011	0	65	127	68	66
PH0575-C	PF3K	Cambodia	2011	0	50	326	26	19
PH0576-C	PF3K	Cambodia	2011	0	42	140	48	47
PH0578-C	PF3K	Cambodia	2011	1	52	156	52	42
PH0579-C	PF3K	Cambodia	2011	0	44	170	35	33
PH0580-C	PF3K	Cambodia	2011	0	74	152	82	78
PH0582-C	PF3K	Cambodia	2011	0	32	178	8	4
PH0583-C	PF3K	Cambodia	2011	0	65	201	72	66
PH0584-C	PF3K	Cambodia	2011	0	44	157	51	44
PH0585-C	PF3K	Cambodia	2011	1	50	163	52	47
PH0586-C	PF3K	Cambodia	2011	0	46	200	37	30
PH0587-C	PF3K	Cambodia	2011	0	42	267	16	13
PH0588-C	PF3K	Cambodia	2011	0	51	210	48	48
PH0589-C	PF3K	Cambodia	2011	1	46	115	55	50
PH0592-C	PF3K	Cambodia	2011	1	54	266	49	41
PH0593-C	PF3K	Cambodia	2011	0	63	188	65	60
PH0594-C	PF3K	Cambodia	2011	1	87	236	103	85
PH0595-C	PF3K	Cambodia	2011	0	83	320	88	80
PH0596-C	PF3K	Cambodia	2011	0	48	137	50	45
PH0597-C	PF3K	Cambodia	2011	0	40	99	47	43
PH0598-C	PF3K	Cambodia	2011	0	61	183	64	62
PH0599-C	PF3K	Cambodia	2011	1	57	177	55	52
PH0600-C	PF3K	Cambodia	2011	0	53	162	52	48
PH0601-C	PF3K	Cambodia	2011	0	45	145	45	43
PH0602-C	PF3K	Cambodia	2011	0	47	114	56	54
PH0603-C	PF3K	Cambodia	2011	0	55	150	56	50
PH0604-C	PF3K	Cambodia	2011	1	51	163	58	51
PH0605-C	PF3K	Cambodia	2011	0	44	150	47	41
PH0608-C	PF3K	Cambodia	2011	0	45	125	52	41
PH0609-C	PF3K	Cambodia	2011	0	44	108	55	48
PH0610-C	PF3K	Cambodia	2011	1	52	295	21	9
PH0611-C	PF3K	Cambodia	2011	0	45	251	33	30
PH0613-C	PF3K	Cambodia	2011	0	35	441	2	1
PH0614-C	PF3K	Cambodia	2011	0	61	295	69	65
PH0615-C	PF3K	Cambodia	2011	0	47	144	51	37
PH0616-C	PF3K	Cambodia	2011	0	16	276	1	0
PH0617-C	PF3K	Cambodia	2011	0	56	122	63	59
PH0619-C	PF3K	Cambodia	2011	0	52	171	59	57
PH0620-C	PF3K	Cambodia	2011	0	22	113	6	5
PH0621-C	PF3K	Cambodia	2011	0	48	353	11	6
PH0624-C	PF3K	Cambodia	2011	0	50	159	54	53
PH0625-C	PF3K	Cambodia	2011	0	46	106	50	48
PH0626-C	PF3K	Cambodia	2011	0	58	176	63	60
PH0627-C	PF3K	Cambodia	2011	0	92	419	83	74
PH0628-C	PF3K	Cambodia	2011	0	101	413	96	88
PH0629-C	PF3K	Cambodia	2011	0	98	414	91	85
PH0630-C	PF3K	Cambodia	2011	0	44	151	53	50
PH0631-C	PF3K	Cambodia	2011	0	55	160	54	50
PH0632-C	PF3K	Cambodia	2011	0	52	158	55	53
PH0633-C	PF3K	Cambodia	2011	0	50	150	52	49
PH0634-C	PF3K	Cambodia	2011	0	63	230	49	43
PH0635-C	PF3K	Cambodia	2011	0	70	235	67	59
PH0636-C	PF3K	Cambodia	2011	0	54	184	65	60
PH0637-C	PF3K	Cambodia	2011	0	36	284	13	5
PH0638-C	PF3K	Cambodia	2011	0	52	203	53	48
PH0639-C	PF3K	Cambodia	2011	0	47	115	50	47
PH0640-C	PF3K	Cambodia	2011	0	49	157	53	49
PH0641-C	PF3K	Cambodia	2011	0	89	498	70	65
PH0642-C	PF3K	Cambodia	2011	0	130	422	132	119
PH0643-C	PF3K	Cambodia	2011	1	63	124	60	57
PH0644-C	PF3K	Cambodia	2011	0	54	215	44	37
PH0645-C	PF3K	Cambodia	2011	0	123	691	117	100
PH0646-C	PF3K	Cambodia	2011	0	100	376	102	91
PH0647-C	PF3K	Cambodia	2011	0	52	202	54	51
PH0648-C	PF3K	Cambodia	2011	0	65	250	57	55
PH0650-C	PF3K	Cambodia	2011	0	62	182	63	59
PH0651-C	PF3K	Cambodia	2011	0	83	490	52	48
PH0676-C	PF3K	Cambodia	2011	0	44	91	48	45
PH0677-C	PF3K	Cambodia	2011	0	53	162	56	52
PH0678-C	PF3K	Cambodia	2011	0	57	165	63	59
PH0679-C	PF3K	Cambodia	2011	0	29	154	15	15
PH0680-C	PF3K	Cambodia	2011	0	47	165	44	42
PH0681-C	PF3K	Cambodia	2011	0	45	155	41	34
PH0682-C	PF3K	Cambodia	2011	0	51	173	55	51
PH0683-C	PF3K	Cambodia	2011	0	71	153	72	66
PH0684-C	PF3K	Cambodia	2011	0	42	110	48	43
PH0685-C	PF3K	Cambodia	2011	0	51	133	51	47
PH0686-C	PF3K	Cambodia	2011	0	52	181	52	47
PH0687-C	PF3K	Cambodia	2011	0	45	96	47	44
PH0692-C	PF3K	Cambodia	2011	0	49	209	32	26
PH0694-C	PF3K	Cambodia	2011	0	52	152	52	46
PH0695-C	PF3K	Cambodia	2011	1	60	178	62	58
PH0696-C	PF3K	Cambodia	2011	0	37	123	38	36
PH0697-C	PF3K	Cambodia	2011	0	42	148	39	34
PH0698-C	PF3K	Cambodia	2011	0	32	173	8	7
PH0700-C	PF3K	Cambodia	2011	0	38	128	39	36
PH0701-C	PF3K	Cambodia	2011	0	61	160	58	56
PH0702-C	PF3K	Cambodia	2011	0	53	175	61	55
PH0703-C	PF3K	Cambodia	2011	0	44	160	46	38
PH0704-C	PF3K	Cambodia	2011	1	65	192	68	65
PH0705-C	PF3K	Cambodia	2011	0	44	290	21	13
PH0706-C	PF3K	Cambodia	2011	0	32	131	31	24
PH0707-C	PF3K	Cambodia	2011	0	66	319	39	28
PH0708-C	PF3K	Cambodia	2011	0	49	143	57	49
PH0709-C	PF3K	Cambodia	2011	0	56	156	60	57
PH0712-C	PF3K	Cambodia	2011	0	46	146	49	46
PH0713-C	PF3K	Cambodia	2011	0	95	199	106	100
PH0714-C	PF3K	Cambodia	2011	0	53	278	40	36
PH0715-C	PF3K	Cambodia	2011	1	57	182	55	53
PH0716-C	PF3K	Cambodia	2011	0	44	144	48	44
PH0717-C	PF3K	Cambodia	2011	0	62	164	57	55
PH0718-C	PF3K	Cambodia	2011	0	42	146	42	35
PH0719-C	PF3K	Cambodia	2011	0	41	234	26	20
PH0722-C	PF3K	Cambodia	2011	0	37	137	40	37
PH0723-C	PF3K	Cambodia	2011	0	55	204	49	42
PH0724-C	PF3K	Cambodia	2011	0	95	351	100	81
PH0725-C	PF3K	Cambodia	2011	0	57	269	49	44
PH0726-Cx	PF3K	Cambodia	2011	0	49	430	80	62
PH0727-C	PF3K	Cambodia	2011	0	59	236	60	47
PH0728-C	PF3K	Cambodia	2011	0	46	115	51	47
PH0729-C	PF3K	Cambodia	2011	1	48	206	41	32
PH0730-C	PF3K	Cambodia	2011	0	49	347	21	10
PH0731-C	PF3K	Cambodia	2011	0	46	166	37	30
PH0732-C	PF3K	Cambodia	2011	0	51	165	55	50
PH0733-C	PF3K	Cambodia	2011	0	76	450	59	53
PH0734-C	PF3K	Cambodia	2011	0	105	393	103	96
PH0735-C	PF3K	Cambodia	2011	0	49	350	11	6
PH0736-C	PF3K	Cambodia	2011	0	103	333	107	97
PH0737-C	PF3K	Cambodia	2011	0	38	177	2	0
PH0738-C	PF3K	Cambodia	2011	0	47	153	45	42
PH0739-C	PF3K	Cambodia	2011	0	47	164	49	46
PH0741-C	PF3K	Cambodia	2011	0	89	264	94	90
PH0742-C	PF3K	Cambodia	2011	0	41	128	39	28
PH0743-C	PF3K	Cambodia	2011	0	23	148	6	4
PH0744-C	PF3K	Cambodia	2011	0	29	124	10	9
PH0745-C	PF3K	Cambodia	2011	0	42	288	25	20
PH0746-C	PF3K	Cambodia	2011	0	49	153	55	51
PH0747-Cx	PF3K	Cambodia	2011	0	79	551	70	55
PH0750-Cx	PF3K	Cambodia	2011	0	11	159	27	21
PH0753-Cx	PF3K	Cambodia	2011	0	58	336	41	38
PH0754-C	PF3K	Cambodia	2011	0	45	251	21	15
PH0755-C	PF3K	Cambodia	2011	0	49	172	39	32
PH0756-Cx	PF3K	Cambodia	2011	0	11	129	33	26
PH0757-C	PF3K	Cambodia	2011	0	48	187	58	50
PH0758-C	PF3K	Cambodia	2011	0	59	170	59	52
PH0759-C	PF3K	Cambodia	2011	0	50	187	43	38
PH0760-C	PF3K	Cambodia	2011	0	72	226	75	68
PH0761-C	PF3K	Cambodia	2011	0	55	167	57	54
PH0762-Cx	PF3K	Cambodia	2011	0	50	282	36	30
PH0763-C	PF3K	Cambodia	2011	0	81	341	80	72
PH0764-C	PF3K	Cambodia	2011	0	24	191	7	4
PH0765-C	PF3K	Cambodia	2011	0	57	297	15	9
PH0766-Cx	PF3K	Cambodia	2011	0	102	502	91	82
PH0767-C	PF3K	Cambodia	2011	0	58	146	58	49
PH0768-C	PF3K	Cambodia	2011	0	80	463	55	45
PH0769-C	PF3K	Cambodia	2011	1	72	343	66	63
PH0770-C	PF3K	Cambodia	2011	0	43	200	9	9
PH0772-C	PF3K	Cambodia	2011	0	56	165	57	55
PH0773-Cx	PF3K	Cambodia	2011	0	60	374	46	35
PH0774-C	PF3K	Cambodia	2011	1	66	252	63	58
PH0775-Cx	PF3K	Cambodia	2011	0	52	190	44	39
PH0776-C	PF3K	Cambodia	2011	0	52	202	51	48
PH0777-C	PF3K	Cambodia	2011	0	44	161	41	31
PH0778-C	PF3K	Cambodia	2011	1	50	158	57	55
PH0779-Cx	PF3K	Cambodia	2011	0	77	445	56	42
PH0780-C	PF3K	Cambodia	2011	0	56	218	43	36
PH0782-C	PF3K	Cambodia	2011	0	81	736	30	20
PH0783-C	PF3K	Cambodia	2011	0	49	167	52	50
PH0784-C	PF3K	Cambodia	2011	0	57	114	59	57
PH0785-Cx	PF3K	Cambodia	2011	0	49	186	47	44
PH0786-Cx	PF3K	Cambodia	2011	0	55	147	62	54
PH0788-C	PF3K	Cambodia	2011	0	46	163	50	47
PH0789-C	PF3K	Cambodia	2011	0	57	259	39	23
PH0790-C	PF3K	Cambodia	2011	0	67	294	33	29
PH0793-C	PF3K	Cambodia	2011	0	36	191	15	10
PH0794-C	PF3K	Cambodia	2011	0	54	131	61	58
PH0795-C	PF3K	Cambodia	2011	0	43	164	48	43
PH0797-C	PF3K	Cambodia	2011	0	56	173	61	58
PH0800-C	PF3K	Cambodia	2011	0	78	491	23	16
PH0801-C	PF3K	Cambodia	2011	0	53	205	50	47
PH0802-C	PF3K	Cambodia	2011	0	74	244	76	72
PH0805-C	PF3K	Cambodia	2011	0	52	300	34	22
PH0807-C	PF3K	Cambodia	2011	0	47	252	44	30
PH0810-C	PF3K	Cambodia	2011	1	50	240	25	18
PH0811-C	PF3K	Cambodia	2011	0	55	279	47	39
PH0813-C	PF3K	Cambodia	2011	0	46	178	47	40
PH0815-C	PF3K	Cambodia	2011	1	66	281	61	55
PH0816-Cx	PF3K	Cambodia	2011	0	40	289	36	31
PH0817-C	PF3K	Cambodia	2011	0	53	203	51	46
PH0818-C	PF3K	Cambodia	2011	0	34	123	29	23
PH0819-C	PF3K	Cambodia	2011	0	49	135	49	45
PH0820-C	PF3K	Cambodia	2011	0	51	156	53	49
PH0821-C	PF3K	Cambodia	2011	0	59	164	48	41
PH0822-C	PF3K	Cambodia	2011	0	54	156	58	52
PH0823-C	PF3K	Cambodia	2011	0	52	138	53	51
PH0824-C	PF3K	Cambodia	2011	0	95	278	97	90
PH0825-C	PF3K	Cambodia	2011	0	48	173	39	35
PH0826-C	PF3K	Cambodia	2011	0	22	119	24	20
PH0828-C	PF3K	Cambodia	2011	0	48	142	47	45
PH0829-C	PF3K	Cambodia	2011	0	35	127	33	33
PH0830-C	PF3K	Cambodia	2011	0	44	129	50	48
PH0831-C	PF3K	Cambodia	2011	0	50	144	50	45
PH0832-C	PF3K	Cambodia	2011	0	41	114	33	27
PH0833-C	PF3K	Cambodia	2011	0	43	100	48	46
PH0834-C	PF3K	Cambodia	2011	0	55	166	54	50
PH0835-C	PF3K	Cambodia	2011	0	56	113	61	57
PH0836-C	PF3K	Cambodia	2011	0	45	161	42	36
PH0837-C	PF3K	Cambodia	2011	0	49	148	50	50
PH0838-C	PF3K	Cambodia	2011	0	59	156	61	58
PH0839-C	PF3K	Cambodia	2011	0	49	137	50	49
PH0840-C	PF3K	Cambodia	2011	0	48	145	51	47
PH0841-C	PF3K	Cambodia	2011	0	51	105	55	52
PH0842-C	PF3K	Cambodia	2011	0	48	101	52	47
PH0843-C	PF3K	Cambodia	2011	0	51	155	52	48
PH0844-C	PF3K	Cambodia	2011	0	54	108	59	58
PH0845-C	PF3K	Cambodia	2011	0	50	122	54	46
PH0846-C	PF3K	Cambodia	2011	0	50	168	52	44
PH0847-C	PF3K	Cambodia	2011	0	49	105	52	50
PH0848-C	PF3K	Cambodia	2011	0	58	158	58	58
PH0849-C	PF3K	Cambodia	2011	0	94	310	104	97
PH0850-C	PF3K	Cambodia	2011	0	51	155	51	51
